item,itemLabel,position,positionLabel,start,psid
Q110472679,Árni Skaale,Q108328710,Minister of Fisheries,2022-01-06,Q110472679-206ADC3C-C711-442C-9BE7-C6677FC2112A
Q110472709,Sólvit Nolsø,Q23304381,Minister of Social Affairs,2022-01-06,Q110472709-1B8A54CD-1AC9-4987-9565-B8EF1BE9CA80
Q17106707,Magnus Rasmussen,Q108328759,Minister of Labour and the Environment,2021-08-19,Q17106707-e6eb905b-4a43-51f6-3239-b280b6d3dfeb
Q254129,Jenis av Rana,Q108328701,Minister of Foreign Affairs,2019-09-16,Q254129-173FDC48-C128-4CC1-A60D-999C8A37D144
Q331786,Kaj Leo Johannesen,Q21034925,Health Minister of the Faroe Islands,2019-09-16,Q331786-d545575e-4e70-ac1c-4563-767078dd5f09
Q67080693,Uni Rasmussen,Q108326606,Deputy Prime Minister of the Faroe Islands,2022-02-23,Q67080693-aa11e656-4593-b54d-5f7e-fcb421e604a5
Q67080693,Uni Rasmussen,Q21034789,Finance Minister of the Faroe Islands,2022-02-23,Q67080693-d770b545-4332-1884-f2f9-685df66930e1
Q853551,Bárður á Steig Nielsen,Q1000921,Prime Minister of the Faroe Islands,2019-09-16,Q853551-e844ab23-40a6-3dfb-8348-1f2f1c48301d
