item,itemLabel,startDate,endDate
Q1058890,Kristian Djurhuus,1959,1963
Q1355561,Erlendur Patursson,1963,1967
Q1058890,Kristian Djurhuus,1967,1970
,Peter F. Christiansen,1970,1975
Q11127404,Demmus Hentze,1975,1981
Q11258131,Tórbjørn Poulsen,1981,1985
Q3445113,Jóngerð Purkhús,1985,1989
Q1417695,Finnbogi Ísakson,1989,1989
,Ivan Johannesen,1989,1991
Q763757,Jógvan Sundstein,1991,1993
Q1417695,Finnbogi Ísakson,1993,1994
Q331931,Jóannes Eidesgaard,1994,1996
Q529900,Anfinn Kallsberg,1996,1998
Q657419,Karsten Hansen,1998,2003
Q853551,Bárður á Steig Nielsen,2004,2007
,Magni Laksáfoss,2007,2008
Q657419,Karsten Hansen,2008,2008
Q331931,Jóannes Eidesgaard,2008,2011
Q556712,Aksel V. Johannesen,2011,2011
Q903946,Jørgen Niclasen,2011,2015
Q466349,Kristina Háfoss,2015,2019
Q903946,Jørgen Niclasen,2019,
