@@,name,position
->,Kaj Leo Holm Johannesen,NULL->landsstýrismaður í heilsumálum
->,Bárður á Steig Nielsen,Føroya løgmaður->løgmaður
---,Kristina Háfoss,Føroya fíggjarmálaráðharri
---,Jóannes Eidesgaard,Føroya fíggjarmálaráðharri
+++,Jørgen Niclasen,"varaløgmaður, landsstýrismaður í fíggjarmálum"
+++,Jenis av Rana,landsstýrismaður í uttanríkis- og mentamálum
+++,Jacob Vestergaard,landsstýrismaður í fiskivinnumálum
+++,Helgi Abrahamsen,landsstýrismaður í vinnu- og umhvørvismálum
+++,Elsebeth Mercedis Gunnleygsdóttur,landsstýrikvinna í almannamálum
